year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
2006,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2007,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2008,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2009,"Benzo(g,h,i)perylene",0,0,0.004,0.004,0,0.004,0,0.004,0.004,0.002
2010,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2011,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2012,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2013,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2014,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2015,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2016,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
1998,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
1999,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2000,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2001,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2002,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2003,"Benzo(k)fluoranthene",0,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0
2004,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2005,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2006,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2007,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2008,"Benzo(k)fluoranthene",0,0.007547692,0,0,0,0,0.0075,0,0,0
2009,"Benzo(k)fluoranthene",0,0.0075,0,0,0,0,0.0075,0,0,0.0021
2010,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2011,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2012,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2013,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2014,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2015,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
2016,"Benzo(k)fluoranthene",0,0,0,0,0,0,0,0,0,0
1998,Berilium,0,0,0,0,0,0,0,0,0,0
1999,Berilium,0,0,0,0,0,0,0,0,0,0
2000,Berilium,0,0,0,0,0,0,0,0,0,0
2001,Berilium,0,0,0,0,0,0,0,0,0,0
2002,Berilium,0,0,0,0,0,0,0,0,0,0
2003,Berilium,0,0,0,0,0,0,0,0,0,0
2004,Berilium,0,0,0,0,0,0,0,0,0,0
2005,Berilium,0,0,0,0,0,0,0,0,0,0
2006,Berilium,0,0,0,0,0,0,0,0,0,0
2007,Berilium,0,0,0,0,0,0,0,0,0,0
2008,Berilium,0,0,0,0,0,0,0,0,0,0
2009,Berilium,0,0,0,0,0,0,0,0,0,0
2010,Berilium,0,0,0,0,0,0,0,0,0,0
2011,Berilium,0,0,0,0,0,0,0,0,0,0
2012,Berilium,0,0,0,0,0,0,0,0,0,0
2013,Berilium,0,0,0,0,0,0,0,0,0,0
2014,Berilium,0,0,0,0,0,0,0,0,0,0
2015,Berilium,0,0,0,0,0,0,0,0,0,0
2016,Berilium,0,0,0,0,0,0,0,0,0,0
1998,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
1999,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2000,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2001,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2002,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2003,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2004,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2005,"beta-Hexaxchlorocyclohexane",0,0.10340625,0.139583333,0.0848,0,0.07146875,0.1021,0.106060606,0.113,0
2006,"beta-Hexaxchlorocyclohexane",0,0.053637931,0.0389,0.040461538,0,0.036074074,0.0468,0.033148148,0.044181818,0
2007,"beta-Hexaxchlorocyclohexane",0,0.012686275,0.007583333,0.007645161,0,0.007027778,0.020833333,0.005611111,0.007666667,0
2008,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2009,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2010,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2011,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2012,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2013,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2014,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2015,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2016,"beta-Hexaxchlorocyclohexane",0,0,0,0,0,0,0,0,0,0
1998,Bicarbonates,0,0,0,0,0,0,0,0,0,0
1999,Bicarbonates,0,191755.5556,205773.3333,191675.5556,0,213163.3333,227333.3333,196112.5,156173.3333,0
2000,Bicarbonates,0,177228.5714,203083.3333,171555.5556,0,149444.4444,213250,154888.8889,166000,0
2001,Bicarbonates,0,192743.3333,191960,163693.3333,0,162387.8788,226181.8182,153723.3333,169180,0
2002,Bicarbonates,0,166255.5556,202985.7143,132936.5079,0,136317.9487,248481.8182,127951.2821,159890.9091,0
2003,Bicarbonates,0,180250,218300,165353.0159,0,173155.5556,249550,174841.6667,181725,0
2004,Bicarbonates,0,188155.1471,179445.4545,156758.9744,0,171144.4444,245016.6667,160472.7273,139730,0
2005,Bicarbonates,0,186089.5833,207708.3321,169891.6664,0,187650.0001,271450.002,181349.9985,196416.6654,0
2006,Bicarbonates,0,172542.8571,238266.6667,202419.4444,0,202947.2222,239290.9091,200433.3333,214941.6667,0
2007,Bicarbonates,0,187519.2308,197755,177044.7222,0,183827.7778,230783.3333,186586.1111,194208.3333,0
2008,Bicarbonates,0,196637.1429,208650.8333,193103.0303,0,195563.9394,244000,199889.4444,201499.1667,0
2009,Bicarbonates,112341.6667,173395.2727,0,217726.6667,143970,217993.3333,227633.3333,217993.3333,0,279009.0909
2010,Bicarbonates,0,181739.3548,0,0,0,0,194450,0,0,323725
2011,Bicarbonates,0,181229.3333,251777.5,173850,175140,180278.4615,206010,184355.5556,212737.5,226408.3333
2012,Bicarbonates,0,184529.0909,0,0,0,0,209400,0,0,235563.6364
2013,Bicarbonates,0,199783.6111,0,0,0,0,196215,0,0,253898.3333
2014,Bicarbonates,133183.3333,171971.6667,0,0,150316.3333,170930.8333,242704.1667,171535.8333,0,239072.2727
2015,Bicarbonates,120780,181014.375,0,0,180731,182135.8333,227831.6667,182779.7222,0,230029.0833
2016,Bicarbonates,110116.6667,180227.2727,0,0,141788.8889,187894.7222,193990.5,188270.5556,0,242984.25
1998,"Biochemical Oxygen",0,2452.380952,2710,2748.333333,0,2619.444444,28000,2392.5,5550,0
1999,"Biochemical Oxygen",0,4443.548387,4333.333333,3411.111111,0,2900.277778,6806.666667,3040.810811,5591.666667,0
2000,"Biochemical Oxygen",0,4514.285714,5016.666667,4219.444444,0,3769.444444,5908.333333,3866.666667,5866.666667,0
2001,"Biochemical Oxygen",0,3296.666667,3944,3338.666667,0,2950.30303,6454.545455,2826.969697,4528,0
2002,"Biochemical Oxygen",0,3874.074074,4218.181818,3481.666667,0,2494.444444,9945.454545,2738.888889,4809.090909,0
2003,"Biochemical Oxygen",0,3609.824561,2918.181818,1885.517241,0,1424.333333,5800,1532.666667,3230.909091,0
2004,"Biochemical Oxygen",0,3287.846154,3890.909091,2735.862069,0,1733.666667,4825,1863.636364,3810,0
2005,"Biochemical Oxygen",0,2674.305556,2680.833333,2026.388889,0,2352.5,5458.333333,2422.222222,2850,0
2006,"Biochemical Oxygen",0,1944.655172,3516.666667,2388.194444,0,1835.277778,4681.818182,2386.111111,4025,0
2007,"Biochemical Oxygen",0,1932.5,2608.333333,2595.16129,0,1979.361111,5416.666667,2367.5,3116.666667,0
2008,"Biochemical Oxygen",0,1714.444444,3628.333333,2520.15873,0,1907.878788,4550.909091,2381.666667,4005,0
2009,"Biochemical Oxygen",2250,1622.545455,3341.666667,2592.5,4605.454545,1958.421053,3938.333333,2132.051282,3491.666667,4758.333333
2010,"Biochemical Oxygen",2158.333333,1674.375,2675,2201.333333,4299.166667,1690,4014.166667,1964.166667,2725,3013.333333
2011,"Biochemical Oxygen",3378.26087,1419,2890,2162.857143,3081.818182,1000.238095,3539.166667,1360,2595.833333,4919.166667
2012,"Biochemical Oxygen",2218.181818,3027.8125,2684.583333,1986.666667,2692.5,1562.5,4658.181818,2107.777778,3285.652174,3644.545455
2013,"Biochemical Oxygen",2050,796.6666667,2682.083333,1735.789474,4012.5,2408.611111,4053.333333,2345.555556,2769.130435,3182.307692
2014,"Biochemical Oxygen",2133.333333,2052.666667,1839.230769,1487.066667,3475.833333,1775,5206.666667,2078.333333,2302.307692,5513.307692
2015,"Biochemical Oxygen",1908.333333,1476.25,2274,1412.307692,3081.818182,1873.333333,5975,2018.611111,2481.730769,6893.333333
2016,"Biochemical Oxygen",1483.333333,2097.118644,2054.230769,1371.666667,3645.454545,1706.388889,4250,1673.888889,1918.076923,10159.16667
1998,Boron,0,0,0,0,0,0,0,0,0,0
1999,Boron,0,0,0,0,0,0,0,0,0,0
2000,Boron,0,0,0,0,0,0,0,0,0,0
2001,Boron,0,0,0,0,0,0,0,0,0,0
2002,Boron,0,0,0,0,0,0,0,0,0,0
2003,Boron,0,0,0,0,0,0,0,0,0,0
2004,Boron,0,0,0,0,0,0,0,0,0,0
2005,Boron,0,0,0,0,0,0,0,0,0,0
2006,Boron,0,0,0,0,0,0,0,0,0,0
2007,Boron,0,0,0,0,0,0,0,0,0,0
2008,Boron,0,0,0,0,0,0,0,0,0,0
2009,Boron,0,0,0,0,0,0,0,0,0,0
2010,Boron,0,0,0,0,0,0,0,0,0,0
2011,Boron,0,0,0,0,0,0,0,0,0,0
2012,Boron,0,0,33.5,39.66666667,0,30.66666667,0,37.33333333,36,0
2013,Boron,0,0,0,0,0,0,0,0,0,0
2014,Boron,0,0,0,0,0,0,0,0,0,0
2015,Boron,0,0,0,0,0,0,0,0,0,0
2016,Boron,0,0,0,0,0,0,0,0,0,0
1998,Cadmium,0,0.192857143,0.29,0.293243243,0,0.384054054,8.753333333,0.266923077,1.256666667,0
1999,Cadmium,0,3.606428571,3.634285714,1.621578947,0,2.240526316,3.661428571,3.275897436,1.878571429,0
2000,Cadmium,0,1.433142857,4.904285714,1.441315789,0,1.219473684,1.81,1.220526316,1.701428571,0
2001,Cadmium,0,2.855833333,2.155555556,2.542592593,0,4.810740741,4.571,4.810740741,3.77,0
2002,Cadmium,0,0.779411765,1.083333333,0.937931034,0,1.004642857,0.797272727,0.954642857,0.837777778,0
2003,Cadmium,0,1.591288889,0.364833333,1.36225,0,2.679433333,1.3725,2.978551724,0.9025,0
2004,Cadmium,0,2.756209677,0.428833333,0.713805556,0,0.396733333,0.8076,0.355083333,0.8305,0
2005,Cadmium,0,5.657045455,1.716727273,1.002583333,0,0.237233333,0.726363636,0.2649,2.307727273,0
2006,Cadmium,0,2.563385965,0.4801,0.618851852,0,0.3754,0.2894,0.2657,0.6312,0
2007,Cadmium,0,5.664960784,0.804916667,0.529591549,0,0.259694444,0.399909091,0.288722222,1.180083333,0
2008,Cadmium,0,0,1.030625,1.215590909,0,0.895789474,0,0.668545455,1.561,0
2009,Cadmium,0.3,0,0.90125,0.75,0.3,1.243703704,0,0.867037037,5.023333333,0
2010,Cadmium,0.2625,2.007109677,0.39,0.247222222,3.68,0.195888889,0.18475,0.223333333,0.290833333,0.333333333
2011,Cadmium,0.166666667,1.657936667,0.111666667,0.089444444,1.798,0.050512821,0.696833333,0.081944444,0.086666667,0.25
2012,Cadmium,0.25,0.424490625,0.06,0.016666667,0.689166667,0.05,0.119727273,0.016666667,0.05,0
2013,Cadmium,0,0.081752778,0,0,0.365454545,0,0,0,0,0
2014,Cadmium,0,0.05934375,0,0,0.092857143,0.025619048,0,0.031111111,0,0
2015,Cadmium,0,0,0,0,0.352,0.014722222,0,0.005277778,0,0
2016,Cadmium,0,0,0.532891667,0.0530625,0,0.045833333,0,0.070277778,0.905025,0
1998,Calcium,0,51800,69270,55811.38889,0,56865.27778,65433.33333,56860.83333,67653.33333,0
1999,Calcium,0,52391.29032,85709.16667,57886.66667,0,58666.66667,71500,57320.81081,76180.83333,0
2000,Calcium,0,55685.71429,84666.66667,55938.88889,0,55813.88889,72608.33333,55955.55556,75491.66667,0
2001,Calcium,0,54340,71850,58873.33333,0,59357.57576,72727.27273,60633.33333,67330,0
2002,Calcium,0,47160.63492,64621.42857,51685.71429,0,52627.17949,81163.63636,52095.12821,60518.18182,0
2003,Calcium,0,50462.83333,53550,50721.5,0,55711.11111,82633.33333,53672.22222,57666.66667,0
2004,Calcium,0,50964.375,42718.18182,40579.23077,0,43700,82400,46052.12121,45090,0
2005,Calcium,0,48359.72231,58299.99983,46520.27783,0,48429.44419,87883.33325,49373.88875,61267.5,0
2006,Calcium,0,49878.71429,64908.33333,50997.22222,0,55758.33333,79563.63636,58141.66667,65683.33333,0
2007,Calcium,0,50892.30769,59725,53285,0,52075,79333.33333,49775,58316.66667,0
2008,Calcium,0,52439.36508,56013.33333,53140.83333,0,50628.78788,75918.18182,49338.88889,58495,0
2009,Calcium,36525,48248.36364,48258.33333,51224.72222,51790,52732.36842,62091.66667,52622.05128,52872.5,0
2010,Calcium,35600,47371.875,58838.33333,55146.66667,57029.16667,55297.77778,55550,58174.44444,57561.66667,110800
2011,Calcium,35207.69231,35074.33333,54913.75,48825.55556,50625,52499.16667,39791.66667,57406.9697,55932.5,0
2012,Calcium,33975,57400,64584.16667,54838.61111,49771.75,50261.11111,61069.09091,52574.16667,61295,0
2013,Calcium,40966.66667,51625,59331.66667,56649.69697,58263.33333,53479.16667,61027.5,58810,58741.66667,89570.83333
2014,Calcium,41608.33333,43845.16667,60897.5,49202.77778,64635,49002.77778,75198.33333,50823.88889,60065.83333,78150
2015,Calcium,39125,42098.4375,62366.66667,49523.07692,55312.5,51909.72222,70594.16667,52762.77778,60550,86064.91667
2016,Calcium,31908.33333,46244.41176,52758.46154,48918.18182,47068,57960.55556,60140.5,58116.38889,60969.23077,87661.08333
1998,Carbonates,0,0,0,0,0,0,0,0,0,0
1999,Carbonates,0,0,0,0,0,0,0,0,0,0
2000,Carbonates,0,0,0,0,0,0,0,0,0,0
2001,Carbonates,0,0,0,0,0,0,0,0,0,0
2002,Carbonates,0,0,0,0,0,0,0,0,0,0
2003,Carbonates,0,0,0,0,0,0,0,0,0,0
2004,Carbonates,0,0,0,0,0,0,0,0,0,0
2005,Carbonates,0,0,0,37800.0012,0,47400.002,0,44400.002,23400,0
2006,Carbonates,0,0,0,0,0,0,0,0,0,0
2007,Carbonates,0,0,19583.33333,10080,0,0,0,6000,12000,0
2008,Carbonates,0,0,13930,0,0,6120,0,0,13845,0
2009,Carbonates,0,0,0,0,0,0,0,0,0,0
2010,Carbonates,0,0,0,0,0,0,0,0,0,0
2011,Carbonates,0,0,0,0,0,0,0,0,0,0
2012,Carbonates,0,0,0,0,0,0,0,0,0,0
2013,Carbonates,0,0,0,0,0,0,0,0,0,0
2014,Carbonates,0,0,0,0,0,0,0,0,0,0
2015,Carbonates,140300,0,0,0,0,0,0,0,0,0
2016,Carbonates,0,0,0,0,0,0,0,0,0,0
1998,Cesium,0,0.047619048,0,0,0,0,0,0,0,0
1999,Cesium,0,0,0,0,0,0,0,0,0,0
2000,Cesium,0,0,0,0,0,0,0,0,0,0
2001,Cesium,0,0,0,0,0,0,0,0,0,0
2002,Cesium,0,0,0,0,0,0,0,0,0,0
2003,Cesium,0,0,0,0,0,0,0,0,0,0
2004,Cesium,0,0,0,0,0,0,0,0,0,0
2005,Cesium,0,0,0,0,0,0,0,0,0,0
2006,Cesium,0,0,0,0,0,0,0,0,0,0
2007,Cesium,0,0,0,0,0,0,0,0,0,0
2008,Cesium,0,0,0,0,0,0,0,0,0,0
2009,Cesium,0,0,0,0,0,0,0,0,0,0
2010,Cesium,0,0,0,0,0,0,0,0,0,0
2011,Cesium,0,0,0,0,0,0,0,0,0,0
2012,Cesium,0,0,0,0,0,0,0,0,0,0
2013,Cesium,0,0,0,0,0,0,0,0,0,0
2014,Cesium,0,0,0,0,0,0,0,0,0,0
2015,Cesium,0,0,0,0,0,0,0,0,0,0
2016,Cesium,0,0,0,0,0,0,0,0,0,0
1998,"Chemical Oxygen Demand (Cr)",0,5290.47619,7666.666667,10431.94444,0,12100,7833.333333,2816.666667,10333.33333,0
1999,"Chemical Oxygen Demand (Cr)",0,13678.8,32350,16750,0,18223.33333,19288.88889,20158.06452,38420,0
2000,"Chemical Oxygen Demand (Cr)",0,11708.57143,29525,19858.33333,0,22955.55556,16416.66667,23680.55556,32283.33333,0
2001,"Chemical Oxygen Demand (Cr)",0,12504.16667,18340,16916.66667,0,19872.72727,14588.88889,17793.93939,19050,0
2002,"Chemical Oxygen Demand (Cr)",0,12106.06061,35900,32333.33333,0,27454.54545,14130,32060.60606,38000,0
2003,"Chemical Oxygen Demand (Cr)",0,10926.84211,24818.18182,16375,0,16363.63636,17691.66667,18484.84848,27818.18182,0
2004,"Chemical Oxygen Demand (Cr)",0,9139.846154,41145.45455,30481.66667,0,30622.22222,15383.33333,29000,42780,0
2005,"Chemical Oxygen Demand (Cr)",0,7837.361111,0,30666.66667,0,0,16816.66633,0,0,0
2006,"Chemical Oxygen Demand (Cr)",0,8651.948276,45680,36916.66667,0,23777.77778,14072.72727,19455.55556,39720,0
2007,"Chemical Oxygen Demand (Cr)",0,8881.153846,43630,27857.44681,0,29996.9697,15850,30533.33333,44654.54545,0
2008,"Chemical Oxygen Demand (Cr)",0,9567.936508,38536.36364,28416.98413,0,29496.9697,13590.90909,29282.77778,41890,0
2009,"Chemical Oxygen Demand (Cr)",7025,8891.272727,33127.5,24218.69565,26301,22167.36842,11958.33333,23231.79487,34703.33333,48338.33333
2010,"Chemical Oxygen Demand (Cr)",7183.333333,9984.6875,31701.66667,23743.77778,21587.5,23140,11424.16667,26648.88889,31714.16667,63204.16667
2011,"Chemical Oxygen Demand (Cr)",5833.333333,10690,27496.66667,21236.03175,16057.5,20397.17949,9706.666667,23075.38462,29066.66667,58077.27273
2012,"Chemical Oxygen Demand (Cr)",4958.333333,9883.125,33326.92308,21597.38095,23273.33333,23699.72222,16063.63636,24656.38889,32127.5,53118.18182
2013,"Chemical Oxygen Demand (Cr)",2166.666667,11165.27778,32237.69231,24598.88889,24747.5,25518.05556,20250,26044.16667,44685.38462,68646.23077
2014,"Chemical Oxygen Demand (Cr)",8750,11295.66667,26300.83333,22702.12121,31158.33333,16606.38889,32769.16667,14733.88889,32515,39170.23077
2015,"Chemical Oxygen Demand (Cr)",11583.33333,10039.375,27819.16667,21432.05128,29425,13859.16667,56185.83333,12238.61111,27910.83333,60026.5
2016,"Chemical Oxygen Demand (Cr)",10416.66667,10815.58824,29540.76923,23438.88889,38281.81818,13413.61111,45885.83333,14715.27778,35610,83723.25
1998,"Chemical Oxygen Demand (Mn)",0,3919.047619,6450,5373.055556,0,3963.888889,9850,4973.333333,7615,0
1999,"Chemical Oxygen Demand (Mn)",0,5938.064516,8130,5816.666667,0,6434.722222,9100,6139.189189,9212.5,0
2000,"Chemical Oxygen Demand (Mn)",0,5780,7466.666667,6108.333333,0,6194.444444,7341.666667,6138.888889,8300,0
2001,"Chemical Oxygen Demand (Mn)",0,5202.333333,5727,4672.666667,0,4189.69697,8190.909091,4059.69697,6139,0
2002,"Chemical Oxygen Demand (Mn)",0,5443.666667,7350,5758.333333,0,6083.333333,7909.090909,5108.333333,8318.181818,0
2003,"Chemical Oxygen Demand (Mn)",0,5615.166667,7890.909091,4131.47541,0,4269.69697,9733.333333,5480.909091,6514.545455,0
2004,"Chemical Oxygen Demand (Mn)",0,5228.461538,5181.818182,4146.444444,0,4324,7875,4548.484848,5390,0
2005,"Chemical Oxygen Demand (Mn)",0,4726.805556,4612.727273,3207.368421,0,3275.151515,8858.333333,3890,4727.272727,0
2006,"Chemical Oxygen Demand (Mn)",0,4365.172414,5190,3652.727273,0,3580.555556,7863.636364,3613.888889,8167.5,0
2007,"Chemical Oxygen Demand (Mn)",0,3063.846154,5884,4420.263158,0,3924.166667,7391.666667,4147.222222,6671.666667,0
2008,"Chemical Oxygen Demand (Mn)",0,2958.412698,4276.666667,3443.571429,0,4079.69697,6289.090909,3886.666667,4969.166667,0
2009,"Chemical Oxygen Demand (Mn)",1950,2150.909091,5136.666667,3617.948718,11204.54545,3730.263158,5250,3714.358974,6186.666667,8160.833333
2010,"Chemical Oxygen Demand (Mn)",3633.333333,2900.3125,4548.333333,2870.769231,10019.16667,3248.888889,5530.833333,3861.388889,3929.166667,7210
2011,"Chemical Oxygen Demand (Mn)",2520.833333,3484.827586,4315.833333,3107.460317,5698.333333,2990,4828.333333,3342.564103,4225,6020
2012,"Chemical Oxygen Demand (Mn)",3259.090909,4264.375,5933.333333,3269.74359,7966.416667,3790.277778,5557.777778,3787.5,5868.333333,0
2013,"Chemical Oxygen Demand (Mn)",2841.666667,3018.888889,5761.538462,3522.777778,5720,3451.388889,6249.166667,3656.666667,8414.615385,5605.384615
2014,"Chemical Oxygen Demand (Mn)",2514.285714,2726,4334.545455,3312,5384.615385,4061.527778,7007.5,4248.055556,5534.545455,8318.461538
2015,"Chemical Oxygen Demand (Mn)",2550,2060.625,5098.333333,3184.871795,5444.444444,4323.333333,8010,4819.166667,5163.076923,5145.25
2016,"Chemical Oxygen Demand (Mn)",2573.333333,2261.176471,0,3748,6154.545455,4151.388889,6746.666667,4028.333333,7864.166667,6533.111111
1998,Chlorides,0,20747.61905,60766.66667,32404.72222,0,28578.61111,72283.33333,28726.66667,89483.33333,0
1999,Chlorides,0,21643.54839,73112.5,32483.33333,0,35528.33333,80408.33333,34163.24324,68616.66667,0
2000,Chlorides,0,21408.57143,76216.66667,35277.77778,0,42161.11111,60283.33333,41050,77716.66667,0
2001,Chlorides,0,21396.66667,50174,31610,0,35505.75758,64627.27273,35683.0303,67453,0
2002,Chlorides,0,21508.25397,55035.71429,35271.42857,0,34500.51282,66963.63636,45105.12821,91518.18182,0
2003,Chlorides,0,20382.33333,49708.33333,30867.97101,0,33325,59725,33116.66667,77141.66667,0
2004,Chlorides,0,20198.46154,48436.36364,32335.55556,0,33180,56708.33333,32939.39394,53250,0
2005,Chlorides,0,22542.77772,81435.83325,44487.83373,0,43536.11125,61183.33342,76591.66697,97191.66767,0
2006,Chlorides,0,19820.85714,74683.33333,39714.09091,0,37277.5,46754.54545,35947.22222,92892.5,0
2007,Chlorides,0,20716.34615,68960,29684.15094,0,30075,42033.33333,29686.38889,74998.33333,0
2008,Chlorides,0,20814.7619,50948.33333,30600.55556,0,30078.18182,43100,30458.33333,62512.5,0
2009,Chlorides,8325,23222,56179.09091,35387.03704,64444.44444,36147.36842,41241.66667,48484.61538,66584.54545,243260
2010,Chlorides,9375,21379.6875,50769.16667,34693.75,90880.83333,34216.66667,35845.83333,34216.66667,61225,190900
2011,Chlorides,10575,19509.33333,59314.16667,29242.54902,70509.09091,28884.7619,38290,28415.12821,53658.33333,137200
2012,Chlorides,9416.666667,20769.66667,46275,27700.22222,50351.66667,28322.59259,31820.90909,30369.66667,49304,157500
2013,Chlorides,11483.33333,23132.77778,60160,29016.36364,76697.69231,29629.72222,44765.25,67778.61111,58752,218323.6667
2014,Chlorides,13416.66667,17098.83333,43176.66667,27075.27778,102163.75,23865.55556,48924.66667,73204.72222,76162.5,259539.8182
2015,Chlorides,11358.33333,15364.875,48306.36364,21854.87179,76853.33333,23628.61111,41886.08333,35669.16667,94662.30769,185438.9167
2016,Chlorides,9616.666667,15963.85294,58823.84615,20136.38889,63555.55556,23103.61111,35290.25,22835.83333,90017.69231,168564.75
1998,Chlorodinine,0,0,0,0,0,0,0,0,0,0
1999,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2000,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2001,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2002,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2003,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2004,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2005,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2006,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2007,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2008,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2009,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2010,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2011,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2012,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2013,Chlorodinine,0,0,0,0,0,0,0,0,0,0
2014,Chlorodinine,0,0.25125,0.2556,0.243666667,0,0.2381875,0.2413,0.252454545,0.2576,0
2015,Chlorodinine,0,0.247028571,0.275,0.250851852,0,0.246740741,0.243818182,0.246185185,0.253444444,0
2016,Chlorodinine,0,0.029285714,0.036166667,0.02290625,0,0.025272727,0.067727273,0.028666667,0.032916667,0
1998,Chromium,0,10.71428571,16.66666667,5.713513514,0,15.11351351,15.83333333,19.90769231,21.33333333,0
1999,Chromium,0,8.793103448,14.92142857,9.9,0,11.08421053,20.45,12.15435897,15.14285714,0
2000,Chromium,0,10.98457143,16.21857143,15.79026316,0,16.99210526,19.28928571,16.32526316,17.65928571,0
2001,Chromium,0,14.11962963,11.242,14.29333333,0,17.74333333,24.98545455,16.03030303,16.86333333,0
2002,Chromium,0,7.708529412,11.73555556,6.813859649,0,10.75464286,14.01545455,7.022962963,14.51777778,0
2003,Chromium,0,2.618066667,4.480833333,3.4434,0,6.132090909,15.387,3.05759375,3.828666667,0
2004,Chromium,0,3.332440678,2.715166667,3.436513889,0,2.084166667,3.856181818,3.510888889,2.578416667,0
2005,Chromium,0,1.518194444,3.013666667,2.777363636,0,3.754361111,6.234454545,2.440305556,4.325833333,0
2006,Chromium,0,2.096188406,1.162416667,3.182424242,0,2.268944444,3.36325,2.163,2.824166667,0
2007,Chromium,0,3.000960784,4.295166667,4.200478873,0,2.491916667,8.973636364,2.862527778,4.675833333,0
2008,Chromium,0,0,2.925,3.189090909,0,2.821052632,0,3.207727273,4.6225,0
2009,Chromium,0.85,0,8.5625,4.322592593,14.6,4.459259259,0,4.488888889,11.7,1.025
2010,Chromium,0.69,8.702767742,7.616666667,4.830555556,13.72727273,3.408333333,5.241666667,3.997222222,7.875,1.68125
2011,Chromium,0.073333333,3.170243333,3.591666667,2.188888889,18.27272727,2.58974359,4.621083333,3.119444444,4.05,3.56
2012,Chromium,0.283333333,0.91523125,2.9,1.666666667,19.75,1.8,13.15454545,2.166666667,2.8,0
2013,Chromium,0,0.303916667,0,3.733333333,2.373333333,0,2.950833333,0,0,0
2014,Chromium,0,0.86803125,1.8,2.088888889,0.344285714,1.042428571,1.625,0.595055556,2.96,0
2015,Chromium,0,0,0,0,0.632,1.82325,0,1.486416667,0,0
2016,Chromium,0,0,0,0,0,2.204444444,0,1.63125,0,0
1998,Chrysene,0,0,0,0,0,0,0,0,0,0
1999,Chrysene,0,0,0,0,0,0,0,0,0,0
